sphere_id,layer_index,ring_index,x,y,z,sphere_radius,ring_radius,azimuth_deg,steering_angle_deg
0,0,0,20.0,0.0,0.0,1.0,20.0,0.0,0.0
1,0,1,19.318516525781366,5.176380902050415,0.0,1.0,20.0,14.999999999999998,0.0
2,0,2,17.320508075688775,9.999999999999998,0.0,1.0,20.0,29.999999999999996,0.0
3,0,3,14.142135623730951,14.14213562373095,0.0,1.0,20.0,45.0,0.0
4,0,4,10.000000000000002,17.32050807568877,0.0,1.0,20.0,59.99999999999999,0.0
5,0,5,5.176380902050415,19.318516525781366,0.0,1.0,20.0,75.0,0.0
6,0,6,1.2246467991473533e-15,20.0,0.0,1.0,20.0,90.0,0.0
7,0,7,-5.176380902050413,19.318516525781366,0.0,1.0,20.0,105.0,0.0
8,0,8,-9.999999999999996,17.320508075688775,0.0,1.0,20.0,119.99999999999999,0.0
9,0,9,-14.14213562373095,14.142135623730951,0.0,1.0,20.0,135.0,0.0
10,0,10,-17.320508075688775,9.999999999999998,0.0,1.0,20.0,150.0,0.0
11,0,11,-19.318516525781362,5.17638090205042,0.0,1.0,20.0,165.0,0.0
12,0,12,-20.0,2.4492935982947065e-15,0.0,1.0,20.0,180.0,0.0
13,0,13,-19.318516525781366,-5.176380902050416,0.0,1.0,20.0,195.0,0.0
14,0,14,-17.320508075688778,-9.999999999999995,0.0,1.0,20.0,210.0,0.0
15,0,15,-14.142135623730958,-14.142135623730942,0.0,1.0,20.0,224.99999999999997,0.0
16,0,16,-10.000000000000009,-17.320508075688767,0.0,1.0,20.0,239.99999999999997,0.0
17,0,17,-5.176380902050413,-19.318516525781366,0.0,1.0,20.0,255.00000000000003,0.0
18,0,18,-3.673940397442059e-15,-20.0,0.0,1.0,20.0,270.0,0.0
19,0,19,5.176380902050406,-19.31851652578137,0.0,1.0,20.0,285.0,0.0
20,0,20,10.000000000000002,-17.32050807568877,0.0,1.0,20.0,300.0,0.0
21,0,21,14.142135623730947,-14.142135623730955,0.0,1.0,20.0,315.0,0.0
22,0,22,17.320508075688767,-10.000000000000009,0.0,1.0,20.0,330.0,0.0
23,0,23,19.318516525781362,-5.176380902050432,0.0,1.0,20.0,344.99999999999994,0.0
24,1,0,20.0,0.0,2.5,1.0,20.0,0.0,4.0
25,1,1,19.318516525781366,5.176380902050415,2.5,1.0,20.0,14.999999999999998,4.0
26,1,2,17.320508075688775,9.999999999999998,2.5,1.0,20.0,29.999999999999996,4.0
27,1,3,14.142135623730951,14.14213562373095,2.5,1.0,20.0,45.0,4.0
28,1,4,10.000000000000002,17.32050807568877,2.5,1.0,20.0,59.99999999999999,4.0
29,1,5,5.176380902050415,19.318516525781366,2.5,1.0,20.0,75.0,4.0
30,1,6,1.2246467991473533e-15,20.0,2.5,1.0,20.0,90.0,4.0
31,1,7,-5.176380902050413,19.318516525781366,2.5,1.0,20.0,105.0,4.0
32,1,8,-9.999999999999996,17.320508075688775,2.5,1.0,20.0,119.99999999999999,4.0
33,1,9,-14.14213562373095,14.142135623730951,2.5,1.0,20.0,135.0,4.0
34,1,10,-17.320508075688775,9.999999999999998,2.5,1.0,20.0,150.0,4.0
35,1,11,-19.318516525781362,5.17638090205042,2.5,1.0,20.0,165.0,4.0
36,1,12,-20.0,2.4492935982947065e-15,2.5,1.0,20.0,180.0,4.0
37,1,13,-19.318516525781366,-5.176380902050416,2.5,1.0,20.0,195.0,4.0
38,1,14,-17.320508075688778,-9.999999999999995,2.5,1.0,20.0,210.0,4.0
39,1,15,-14.142135623730958,-14.142135623730942,2.5,1.0,20.0,224.99999999999997,4.0
40,1,16,-10.000000000000009,-17.320508075688767,2.5,1.0,20.0,239.99999999999997,4.0
41,1,17,-5.176380902050413,-19.318516525781366,2.5,1.0,20.0,255.00000000000003,4.0
42,1,18,-3.673940397442059e-15,-20.0,2.5,1.0,20.0,270.0,4.0
43,1,19,5.176380902050406,-19.31851652578137,2.5,1.0,20.0,285.0,4.0
44,1,20,10.000000000000002,-17.32050807568877,2.5,1.0,20.0,300.0,4.0
45,1,21,14.142135623730947,-14.142135623730955,2.5,1.0,20.0,315.0,4.0
46,1,22,17.320508075688767,-10.000000000000009,2.5,1.0,20.0,330.0,4.0
47,1,23,19.318516525781362,-5.176380902050432,2.5,1.0,20.0,344.99999999999994,4.0
48,2,0,20.0,0.0,5.0,1.0,20.0,0.0,8.0
49,2,1,19.318516525781366,5.176380902050415,5.0,1.0,20.0,14.999999999999998,8.0
50,2,2,17.320508075688775,9.999999999999998,5.0,1.0,20.0,29.999999999999996,8.0
51,2,3,14.142135623730951,14.14213562373095,5.0,1.0,20.0,45.0,8.0
52,2,4,10.000000000000002,17.32050807568877,5.0,1.0,20.0,59.99999999999999,8.0
53,2,5,5.176380902050415,19.318516525781366,5.0,1.0,20.0,75.0,8.0
54,2,6,1.2246467991473533e-15,20.0,5.0,1.0,20.0,90.0,8.0
55,2,7,-5.176380902050413,19.318516525781366,5.0,1.0,20.0,105.0,8.0
56,2,8,-9.999999999999996,17.320508075688775,5.0,1.0,20.0,119.99999999999999,8.0
57,2,9,-14.14213562373095,14.142135623730951,5.0,1.0,20.0,135.0,8.0
58,2,10,-17.320508075688775,9.999999999999998,5.0,1.0,20.0,150.0,8.0
59,2,11,-19.318516525781362,5.17638090205042,5.0,1.0,20.0,165.0,8.0
60,2,12,-20.0,2.4492935982947065e-15,5.0,1.0,20.0,180.0,8.0
61,2,13,-19.318516525781366,-5.176380902050416,5.0,1.0,20.0,195.0,8.0
62,2,14,-17.320508075688778,-9.999999999999995,5.0,1.0,20.0,210.0,8.0
63,2,15,-14.142135623730958,-14.142135623730942,5.0,1.0,20.0,224.99999999999997,8.0
64,2,16,-10.000000000000009,-17.320508075688767,5.0,1.0,20.0,239.99999999999997,8.0
65,2,17,-5.176380902050413,-19.318516525781366,5.0,1.0,20.0,255.00000000000003,8.0
66,2,18,-3.673940397442059e-15,-20.0,5.0,1.0,20.0,270.0,8.0
67,2,19,5.176380902050406,-19.31851652578137,5.0,1.0,20.0,285.0,8.0
68,2,20,10.000000000000002,-17.32050807568877,5.0,1.0,20.0,300.0,8.0
69,2,21,14.142135623730947,-14.142135623730955,5.0,1.0,20.0,315.0,8.0
70,2,22,17.320508075688767,-10.000000000000009,5.0,1.0,20.0,330.0,8.0
71,2,23,19.318516525781362,-5.176380902050432,5.0,1.0,20.0,344.99999999999994,8.0
72,3,0,20.0,0.0,7.5,1.0,20.0,0.0,12.0
73,3,1,19.318516525781366,5.176380902050415,7.5,1.0,20.0,14.999999999999998,12.0
74,3,2,17.320508075688775,9.999999999999998,7.5,1.0,20.0,29.999999999999996,12.0
75,3,3,14.142135623730951,14.14213562373095,7.5,1.0,20.0,45.0,12.0
76,3,4,10.000000000000002,17.32050807568877,7.5,1.0,20.0,59.99999999999999,12.0
77,3,5,5.176380902050415,19.318516525781366,7.5,1.0,20.0,75.0,12.0
78,3,6,1.2246467991473533e-15,20.0,7.5,1.0,20.0,90.0,12.0
