ray_id,x,y,z,intensity,energy_kev,pixel_x,pixel_y,inside_detector
0,9.569212602872557,8.236962040823009,20.0,0.9039207967999998,60.0,176,170,True
1,5.3851532761216685,8.126731826631133,20.0,0.9039207967999998,60.0,155,169,True
2,1.3116626993755325,8.01985546659521,20.0,0.9039207967999998,60.0,134,169,True
3,-2.6562264906160546,7.916172844746349,20.0,0.9039207967999998,60.0,114,168,True
4,-6.523170655165288,7.815534164651439,20.0,0.9039207967999998,60.0,94,168,True
5,9.56921260287256,4.1184810204115045,20.0,0.9039207967999998,60.0,176,149,True
6,5.3851532761216685,4.063365913315566,20.0,0.9039207967999998,60.0,155,148,True
7,1.3116626993755323,4.009927733297605,20.0,0.9039207967999998,60.0,134,148,True
8,-2.6562264906160533,3.9580864223731744,20.0,0.9039207967999998,60.0,114,148,True
9,-6.523170655165286,3.9077670823257185,20.0,0.9039207967999998,60.0,94,148,True
10,9.569212602872556,0.0,20.0,0.9039207967999998,60.0,176,128,True
11,5.3851532761216685,0.0,20.0,0.9039207967999998,60.0,155,128,True
12,1.3116626993755325,0.0,20.0,0.9039207967999998,60.0,134,128,True
13,-2.6562264906160538,0.0,20.0,0.9039207967999998,60.0,114,128,True
14,-6.523170655165286,0.0,20.0,0.9039207967999998,60.0,94,128,True
15,9.56921260287256,-4.1184810204115045,20.0,0.9039207967999998,60.0,176,106,True
16,5.3851532761216685,-4.063365913315566,20.0,0.9039207967999998,60.0,155,107,True
17,1.3116626993755323,-4.009927733297605,20.0,0.9039207967999998,60.0,134,107,True
18,-2.6562264906160533,-3.9580864223731744,20.0,0.9039207967999998,60.0,114,107,True
19,-6.523170655165286,-3.9077670823257185,20.0,0.9039207967999998,60.0,94,107,True
20,9.569212602872557,-8.236962040823009,20.0,0.9039207967999998,60.0,176,85,True
21,5.3851532761216685,-8.126731826631133,20.0,0.9039207967999998,60.0,155,86,True
22,1.3116626993755325,-8.01985546659521,20.0,0.9039207967999998,60.0,134,86,True
23,-2.6562264906160546,-7.916172844746349,20.0,0.9039207967999998,60.0,114,87,True
24,-6.523170655165288,-7.815534164651439,20.0,0.9039207967999998,60.0,94,87,True
