ray_id,origin_x,origin_y,origin_z,dir_x,dir_y,dir_z,energy_kev,initial_intensity,terminated_reason,event_count
0,-4.0,-4.0,-10.0,0.3481553119113957,0.3481553119113957,0.8703882797784892,60.0,1.0,detector_hit,12
1,-2.0,-4.0,-10.0,0.18257418583505536,0.3651483716701107,0.9128709291752768,60.0,1.0,detector_hit,12
2,0.0,-4.0,-10.0,0.0,0.3713906763541037,0.9284766908852593,60.0,1.0,detector_hit,12
3,2.0,-4.0,-10.0,-0.18257418583505536,0.3651483716701107,0.9128709291752768,60.0,1.0,detector_hit,12
4,4.0,-4.0,-10.0,-0.3481553119113957,0.3481553119113957,0.8703882797784892,60.0,1.0,detector_hit,12
5,-4.0,-2.0,-10.0,0.3651483716701107,0.18257418583505536,0.9128709291752768,60.0,1.0,detector_hit,12
6,-2.0,-2.0,-10.0,0.19245008972987526,0.19245008972987526,0.9622504486493764,60.0,1.0,detector_hit,12
7,0.0,-2.0,-10.0,0.0,0.19611613513818404,0.9805806756909202,60.0,1.0,detector_hit,12
8,2.0,-2.0,-10.0,-0.19245008972987526,0.19245008972987526,0.9622504486493764,60.0,1.0,detector_hit,12
9,4.0,-2.0,-10.0,-0.3651483716701107,0.18257418583505536,0.9128709291752768,60.0,1.0,detector_hit,12
10,-4.0,0.0,-10.0,0.3713906763541037,0.0,0.9284766908852593,60.0,1.0,detector_hit,12
11,-2.0,0.0,-10.0,0.19611613513818404,0.0,0.9805806756909202,60.0,1.0,detector_hit,12
12,0.0,0.0,-10.0,0.0,0.0,1.0,60.0,1.0,detector_hit,12
13,2.0,0.0,-10.0,-0.19611613513818404,0.0,0.9805806756909202,60.0,1.0,detector_hit,12
14,4.0,0.0,-10.0,-0.3713906763541037,0.0,0.9284766908852593,60.0,1.0,detector_hit,12
15,-4.0,2.0,-10.0,0.3651483716701107,-0.18257418583505536,0.9128709291752768,60.0,1.0,detector_hit,12
16,-2.0,2.0,-10.0,0.19245008972987526,-0.19245008972987526,0.9622504486493764,60.0,1.0,detector_hit,12
17,0.0,2.0,-10.0,0.0,-0.19611613513818404,0.9805806756909202,60.0,1.0,detector_hit,12
18,2.0,2.0,-10.0,-0.19245008972987526,-0.19245008972987526,0.9622504486493764,60.0,1.0,detector_hit,12
19,4.0,2.0,-10.0,-0.3651483716701107,-0.18257418583505536,0.9128709291752768,60.0,1.0,detector_hit,12
20,-4.0,4.0,-10.0,0.3481553119113957,-0.3481553119113957,0.8703882797784892,60.0,1.0,detector_hit,12
21,-2.0,4.0,-10.0,0.18257418583505536,-0.3651483716701107,0.9128709291752768,60.0,1.0,detector_hit,12
22,0.0,4.0,-10.0,0.0,-0.3713906763541037,0.9284766908852593,60.0,1.0,detector_hit,12
23,2.0,4.0,-10.0,-0.18257418583505536,-0.3651483716701107,0.9128709291752768,60.0,1.0,detector_hit,12
24,4.0,4.0,-10.0,-0.3481553119113957,-0.3481553119113957,0.8703882797784892,60.0,1.0,detector_hit,12
